,tag,count
0,electiveprocedures,1
1,telangana,1
2,elites,1
3,publichealth,1
4,smartnewsrt,1
5,covidー19,1
6,knowthefacts,1
7,australia,1
8,madagascar,1
9,poll,1
10,biologicalweapon,1
11,covid19,2
12,kpop,1
13,isis,1
14,coronavirus,9
15,foodsystems,1
16,foodsecurity,1
17,covid19trump,1
18,india,1
19,exposeveritas,1
20,trump,1
21,electiveprocedures,1
22,telangana,1
23,elites,1
24,publichealth,1
25,smartnewsrt,1
26,covidー19,3
27,knowthefacts,1
28,australia,1
29,madagascar,1
30,poll,2
31,…another,1
32,voteblue2020,1
33,cracolandia,1
34,coronavirusroundup,1
35,webinar,1
36,ヒロアカ,1
37,dabihawks,1
38,dabi,1
39,bnha,1
40,covid19…coronavirus,1
41,nurseappreciationday,1
42,ericmoye,1
43,ces,1
44,magnolialng,1
45,uslng,1
46,lng,1
47,economy,1
48,adolfhitler,1
49,sarscov2,1
50,americans,1
51,versoepeling,1
52,corona,1
53,viruscorona,1
54,covid,1
55,covid19dont,1
56,coronaviru…love,1
57,silk,1
58,marvel,1
59,coron…rt,2
60,lockdownextension,1
61,openamericanowhoustonpolice,1
62,coronavirusrt,2
63,cdnpolirt,1
64,uspolitics,1
65,grdf,1
66,odx,1
67,anthonyfauci,1
68,coronavirusinindia,1
69,narendramodi,1
70,climatecrisis,1
71,beto,1
72,n…by,1
73,socialdistancing,1
74,biologicalweapon,1
75,covid19,17
76,kpop,1
77,isis,1
78,coronavirus,37
79,foodsystems,1
80,foodsecurity,1
81,covid19trump,1
82,india,1
83,exposeveritas,1
84,trump,1
85,newjersey,1
86,resist,1
87,mepolitics,1
88,greece,1
89,saopaulo,1
90,caresact…,1
91,b2bmarketing,1
92,lockdownlifert,1
93,pakistan,1
94,荼毘ホ,1
95,hawks,1
96,opendata,1
97,ongt…,1
98,boosted,1
99,businessnews…,1
100,oann,2
101,oa…persconferentie,1
102,coronamaatregelen,1
103,coronacrisis,1
104,coronanl …,1
105,cindymoon,1
106,wearyourmask,1
107,koreanamerican,1
108,asianamerican,1
109,israel,1
110,magart,1
111,worldwidebiblestudyrt,1
112,newnormal,1
113,poverty,1
114,energypove…rt,1
115,pizzarat,1
116,pizzagroundhog,1
117,kentucky,1
118,uae,1
119,fauci,1
120,breaking,1
121,electiveprocedures,1
122,telangana,1
123,elites,1
124,publichealth,2
125,smartnewsrt,1
126,covidー19,3
127,knowthefacts,1
128,australia,1
129,madagascar,1
130,poll,2
131,…another,1
132,voteblue2020,1
133,cracolandia,1
134,coronavirusroundup,1
135,webinar,1
136,ヒロアカ,1
137,dabihawks,1
138,dabi,1
139,bnha,1
140,covid19…coronavirus,1
141,nurseappreciationday,1
142,ericmoye,1
143,ces,1
144,magnolialng,1
145,uslng,1
146,lng,1
147,economy,1
148,adolfhitler,1
149,sarscov2,1
150,americans,1
151,versoepeling,1
152,corona,1
153,viruscorona,1
154,covid,1
155,covid19dont,1
156,coronaviru…love,1
157,silk,1
158,marvel,1
159,coron…rt,2
160,lockdownextension,1
161,openamericanowhoustonpolice,1
162,coronavirusrt,4
163,cdnpolirt,1
164,uspolitics,1
165,grdf,1
166,odx,1
167,anthonyfauci,1
168,coronavirusinindia,2
169,narendramodi,2
170,climatecrisis,1
171,beto,1
172,n…by,1
173,socialdistancing,1
174,kenya,1
175,hiv,1
176,oa…rt,1
177,kpop  ,1
178,whitmer,1
179,hongkongprotests,1
180,rayday,1
181,masks,1
182,texas,1
183,update,1
184,خلكفيالبيت,1
185,كوفيد19,1
186,1,1
187,decessicoronavirus,1
188,guarigionicoronavirus,1
189,isolamentocoronavirus…,1
190,zimbabwe,1
191,biologicalweapon,1
192,covid19,28
193,kpop,1
194,isis,1
195,coronavirus,55
196,foodsystems,2
197,foodsecurity,2
198,covid19trump,1
199,india,1
200,exposeveritas,1
201,trump,1
202,newjersey,1
203,resist,1
204,mepolitics,1
205,greece,2
206,saopaulo,1
207,caresact…,1
208,b2bmarketing,1
209,lockdownlifert,1
210,pakistan,1
211,荼毘ホ,1
212,hawks,1
213,opendata,1
214,ongt…,1
215,boosted,1
216,businessnews…,1
217,oann,2
218,oa…persconferentie,1
219,coronamaatregelen,1
220,coronacrisis,1
221,coronanl …,1
222,cindymoon,1
223,wearyourmask,1
224,koreanamerican,1
225,asianamerican,1
226,israel,1
227,magart,1
228,worldwidebiblestudyrt,1
229,newnormal,1
230,poverty,1
231,energypove…rt,1
232,pizzarat,1
233,pizzagroundhog,1
234,kentucky,1
235,uae,1
236,fauci,1
237,breaking,1
238,16yearsformagicalaarya,1
239,foxnewsrt,1
240,corecivic,1
241,chandnichowk,1
242,us…rt,1
243,covid19…rt,1
244,coronavir…rt,1
245,plandemic,1
246,covid19rt,1
247,firefauci,1
248,bitchutert,1
249,specializedtechnicalservices,1
250,isolamento,1
251,electiveprocedures,1
252,telangana,1
253,elites,1
254,publichealth,2
255,smartnewsrt,1
256,covidー19,4
257,knowthefacts,1
258,australia,1
259,madagascar,1
260,poll,4
261,…another,1
262,voteblue2020,1
263,cracolandia,1
264,coronavirusroundup,1
265,webinar,1
266,ヒロアカ,1
267,dabihawks,1
268,dabi,1
269,bnha,1
270,covid19…coronavirus,1
271,nurseappreciationday,1
272,ericmoye,1
273,ces,1
274,magnolialng,1
275,uslng,1
276,lng,1
277,economy,1
278,adolfhitler,1
279,sarscov2,1
280,americans,3
281,versoepeling,1
282,corona,1
283,viruscorona,1
284,covid,1
285,covid19dont,1
286,coronaviru…love,1
287,silk,1
288,marvel,1
289,coron…rt,2
290,lockdownextension,1
291,openamericanowhoustonpolice,1
292,coronavirusrt,5
293,cdnpolirt,1
294,uspolitics,1
295,grdf,1
