,text,sentiment
0,RT We have just heard the number of Coronavirus tests done are below 100 000 for the fourth day in a row despite Boris Jo RT Wow This is absolutely stunning Apple is reportedly unlocking an internal bluetooth API to make the COVID app work in the Deferred electiveprocedures wipe out Smith amp Nephew revenues prompting 200M in cost cuts Books This video was removed from youtube,Positive
1,Dr Francis Boyle Creator Of BioWeapons Act Says Coronavirus Is a biologicalweapon v RT Telangana In a meeting held today CM KCR tells officials that COVID19 spread is rampant in Kurnool Guntur districts Ateez weeb seonghwa san bts jikook jimin yoongi kim choi nudes nsfw cock 18 kpop coronavirus nct win promo animal A nurse returning home after a month long fight on the coronavirus frontline gets a heartwarming welcome from her neig RT Governor Henry McMaster will be joined by state public health officials for a media briefing to update the public on t RT Shipp The exposure of Dr Fauci No wonder we have not been seeing him in the Coronavirus White House briefings It is no surprise Kushner s coronavirus response effort is disorganized ineffective and lacking experienced personnel RT If former VP amp are going to avoid a repeat of 2016 they need to understand that the Republican RT BREAKING One day after reopening Florida recorded a record number of new deaths Tuesday from the novel coronavirus with RT Yale Epidemiologist U S Handling of Coronavirus Awfully Close to Genocide by Default means COVID19 has been here for a long time and had such a small effect we didn t even notice it RT Likely RT Trump Unveils New Coronavirus Seeking Missiles In 1847 the Choctaw people a Native American community collected 170 to send to people in Ireland who were starving during th RT Deaths of those with learning disabilities and autism from Covid19 are to be analysed by Public Health England HSJ can rev RT Yay President Trump listened to my words We got word watched the entire interview including THIS RT Now that Kushner is in charge of finding a Coronavirus vaccine if you think any other vaccine in development that won t be Mumbai Crosses 10 000 Mark With Over 700 New Coronavirus Cases In A Day What would the media say if Barack Obama were president during the Coronavirus Pandemic and handled it the same way as Saturday broke the law by denying a state senator entry to his facilities State law is very clear Oil prices surge as coronavirus lockdowns ease Where are our REPUBLICAN LEADERS November is coming VOTERS are home WATCHING what IS amp ISN T happ 4 months ago would be January right Could the delay be coronavirus related possibly RT The health secretary Matt Hancock has been threatened with a judicial review amid fears patients human rights are at ris RT Here come the blue checkmarks US files first criminal charges for defrauding coronavirus bailout programme singh Yes Humanity will win this war together stay safeRT Dr Fauci and Birx will be made to testify before the Senate about how they the CDC and this whole coronavirus has been man Nice job Photo Op Joe come next week you ll move it again he is worthlessRT A better article Lake County zip code data shows coronavirus hot spots your apprentices that are furloughed You can use the Coronavirus Job Retention Scheme to claim for 80 of y How Commercial Real Estate Is Affected By The Coronavirus Pandemic A deep dive analysis that RT A llama called Winter could prove useful in the hunt for a treatment for COVID 19 according to U S and Belgian scientists Coronavirus live updates WHO says risk of returning to lockdown remains very real if social distancing is eased A Russian doctor complained on social media about shortages of PPE and being forced to work despite testing positive for C RT My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I he is right6 New Coronavirus Hotspots Around The U S Show Disease Still Spreading While everyone s distracted by coronavirus Trump s quietly taking personal control of the Office of Personnel Management RT Looks like General McChrystal is still pissed that Hillary lost the election He intends to use ISIS propaganda technolo All of these elites breaking the lockdown they have imposed onto others is apparent They know this is a boondoggl President Trump said on Twitter that the coronavirus task force will continue on indefinitely after confirming Tuesday that The future will look bleak and will only create more radicals because of unemployment Once this Co Has Been Crippled By The Coronavirus Lockdowns Here come the blue checkmarks read this read this read this read this read this,Negative
2,uk Hand washing still plays a key role in protecting yourself and others from coronavirus,Positive
3,Wash your hands more often,Neutral
4,Us RT Here come the blue checkmarks 3C 3 Lets simplify this,Neutral
5,Coronavirus Models are predictions that may or may not happen,Neutral
6,Unemployment numbers are reality of the de On foodsystems foodsecurity and publichealth Excellent coverage COVID19Trump says coronavirus task force to work indefinitely shift focus seafood plants close after 13 workers test positive for coronavirus Get You Mask and Covers Here But But you said coronavirus was the greatest Hoax A Hoax that mas charts predicting future waves of coronavirus cases show why we should worry about September SmartNewsRT Trump administration failed to prepare for coronavirus sought quick fix Dr Rick Bright Now that Kushner is in charge of finding a Coronavirus vaccine if you think any other vaccine in development that won t be RT Over 70 000 Americans have died Tens of thousands more will die So now is perfect time to disband the Coronavirus Task For RT Siskind Gee who could have been this coming,Positive
7,Gov Brian Kemp warned on Tuesday that a growing coronavirus outbreak is stre RT New Zealand stopped coronavirus in its tracks Britain has the highest death toll in Europe Don t let our government get So COVID murder hornets a more contagious strain of the Coronavirus and now this Can we just cancel the rest of Trump twice declined suggestions from his team in January to press Xi for more transparency about coronavirus s causes RT The Navajo Nation is a Nation within a Nation We appreciate President Trump for supplying our Tribal Reservation with When s the last time you remember restaurant prices going up Spoiler they haven t We should pay restaurant worke My mother just passed away from the coronavirus I lost my father to the same on Saturday My brother is sick now too Can I RT BREAKING NEWS,Negative
8,Number of RECOVERED CORONAVIRUS patients has reached 1 250 000 worldwide RT Hint it starts with a C and ends with apitalism,Positive
9,aka this is what happens when Wall Street captures Congress and writes themsel RT We lost 232 New Yorkers yesterday to Coronavirus,Negative
