,word,count
0,heard,1
1,test,2
2,100,1
3,000,6
4,fourth,1
5,row,1
6,despite,2
7,boris,1
8,stunning,1
9,unlocking,1
10,internal,1
11,api,1
12,make,2
13,covid,6
14,work,3
15,electiveprocedures,1
16,smith,1
17,nephew,1
18,revenue,1
19,prompting,1
20,200m,1
21,cut,1
22,book,1
23,removed,1
24,youtube,1
25,creator,1
26,act,1
27,say,9
28,telangana,1
29,meeting,1
30,kcr,1
31,tell,1
32,official,3
33,rampant,1
34,weeb,1
35,seonghwa,1
36,bts,1
37,jimin,1
38,choi,1
39,nude,1
40,cock,1
41,win,2
42,nurse,1
43,home,2
44,month,3
45,long,3
46,fight,1
47,heartwarming,1
48,governor,2
49,henry,1
50,mcmaster,1
51,joined,1
52,state,5
53,public,3
54,medium,3
55,update,3
56,exposure,1
57,wonder,1
58,seeing,1
59,house,2
60,response,1
61,disorganized,1
62,ineffective,1
63,repeat,1
64,2016,1
65,understand,1
66,record,1
67,new,12
68,tuesday,4
69,novel,1
70,yale,1
71,epidemiologist,1
72,awfully,1
73,close,2
74,default,1
75,mean,2
76,effect,1
77,even,1
78,likely,1
79,unveils,1
80,missile,1
81,1847,1
82,choctaw,1
83,native,1
84,community,1
85,send,2
86,ireland,1
87,starving,1
88,learning,1
89,disability,1
90,analysed,1
91,england,1
92,got,2
93,entire,1
94,charge,4
95,vaccine,4
96,think,2
97,development,2
98,mumbai,1
99,cross,1
100,10,1
101,mark,1
102,700,1
103,would,2
104,handled,1
105,way,1
106,law,2
107,denying,1
108,senator,1
109,clear,1
110,price,2
111,leader,1
112,voter,1
113,watching,1
114,happ,1
115,4,2
116,ago,1
117,january,2
118,right,3
119,delay,1
120,related,1
121,matt,1
122,threatened,1
123,amid,1
124,fear,1
125,human,1
126,ri,1
127,bailout,1
128,yes,2
129,safert,1
130,nice,1
131,job,2
132,week,1
133,move,1
134,worthlessrt,1
135,zip,1
136,hot,1
137,spot,1
138,apprentice,1
139,furloughed,1
140,use,2
141,retention,1
142,claim,1
143,commercial,2
144,affected,1
145,dive,1
146,useful,1
147,hunt,1
148,19,4
149,live,1
150,risk,1
151,social,3
152,eased,1
153,doctor,1
154,forced,1
155,positive,2
156,c,3
157,passed,2
158,away,2
159,lost,4
160,father,2
161,brother,2
162,around,1
163,distracted,1
164,quietly,1
165,management,1
166,look,2
167,like,1
168,pissed,1
169,hillary,1
170,isi,1
171,propaganda,1
172,technolo,1
173,elite,1
174,others,2
175,apparent,2
176,know,2
177,boondoggl,1
178,said,3
179,task,4
180,indefinitely,2
181,co,2
182,crippled,1
183,read,6
184,protecting,1
185,let,3
186,model,1
187,prediction,1
188,may,2
189,happen,1
190,publichealth,1
191,excellent,1
192,coverage,1
193,plant,1
194,worker,1
195,mask,1
196,greatest,1
197,chart,1
198,predicting,1
199,worry,2
200,smartnewsrt,1
201,failed,1
202,prepare,1
203,quick,1
204,fix,1
205,rick,1
206,bright,1
207,70,1
208,ten,1
209,thousand,1
210,die,2
211,perfect,1
212,disband,1
213,siskind,1
214,brian,1
215,outbreak,1
216,zealand,1
217,stopped,1
218,britain,1
219,toll,1
220,europe,1
221,murder,2
222,contagious,1
223,rest,1
224,declined,1
225,suggestion,1
226,team,1
227,cause,1
228,nation,8
229,supplying,2
230,tribal,2
231,last,2
232,restaurant,2
233,spoiler,1
234,pay,1
235,news,2
236,recovered,1
237,reached,1
238,1,2
239,start,2
240,end,2
241,capture,2
242,congress,2
243,yorkers,1
244,family,1
245,suffering,1
246,york,3
247,hidden,1
248,median,1
249,year,2
250,82,1
251,perhaps,1
252,journalist,1
253,prevention,1
254,knowthefacts,1
255,gotta,1
256,dort,1
257,watch,2
258,webinar,1
259,australia,1
260,business,2
261,world,2
262,panel,1
263,12,1
264,ny,1
265,fox9,1
266,stop,1
267,paying,1
268,deliberately,1
269,infected,1
270,several,1
271,question,1
272,unfortunate,1
273,suicide,2
274,theorist,1
275,person,1
276,yobe,1
277,suspected,1
278,symptom,1
279,holding,2
280,account,2
281,nyc,1
282,jesssayin,2
283,yet,2
284,nobody,2
285,interesting,2
286,freshness,2
287,following,1
288,latest,1
289,figure,1
290,four,2
291,cautious,1
292,estimate,1
293,linked,1
294,boy,1
295,mission,2
296,fuck,1
297,caught,1
298,trying,1
299,expose,1
300,fake,1
301,roy,1
302,ka,2
303,17,1
304,joke,1
305,biggest,1
306,ever,1
307,tanzania,1
308,kit,1
309,questioned,1
310,tweeps,1
311,madagascar,1
312,till,1
313,power,1
314,set,2
315,whistleblower,1
316,admin,1
317,pushing,1
318,political,1
319,interest,1
320,believe,1
321,20,1
322,true,1
323,idea,1
324,two,1
325,feature,1
326,published,1
327,jared,1
328,shadow,1
329,walmarts,1
330,poll,1
331,edge,1
332,evaporates,1
333,seen,1
334,economy,1
335,anybody,1
336,came,1
337,trade,1
338,deal,1
339,caslen,1
340,continues,1
341,priority,1
342,plan,1
343,ar,1
344,decided,1
345,take,1
346,stimulus,1
347,contract,1
348,desi,1
349,aunty,1
350,group,2
351,ilaaj,1
352,mil,1
353,le,1
354,scotgov,1
355,responsible,1
356,scotland,1
357,approach,1
358,investigate,1
359,source,1
360,confirms,1
361,free,1
362,isolation,1
363,center,1
364,diagnosed,1
365,brazil,1
366,using,1
367,amazon,1
368,warn,1
369,student,1
370,jet,1
371,rt,43
372,number,5
373,coronavirus,64
374,done,1
375,day,5
376,jo,1
377,wow,1
378,absolutely,1
379,apple,1
380,reportedly,1
381,bluetooth,1
382,app,2
383,deferred,1
384,wipe,1
385,amp,4
386,cost,1
387,video,1
388,dr,4
389,francis,1
390,boyle,1
391,bioweapon,1
392,biologicalweapon,1
393,v,1
394,held,1
395,today,2
396,cm,1
397,covid19,4
398,spread,1
399,kurnool,1
400,guntur,1
401,district,1
402,ateez,1
403,san,1
404,jikook,1
405,yoongi,1
406,kim,1
407,nsfw,1
408,18,2
409,kpop,1
410,nct,1
411,promo,1
412,animal,1
413,returning,2
414,frontline,1
415,get,3
416,welcome,1
417,neig,1
418,health,5
419,briefing,2
420,shipp,1
421,fauci,2
422,white,2
423,surprise,1
424,kushner,4
425,effort,1
426,lacking,1
427,experienced,1
428,personnel,2
429,former,1
430,vp,1
431,going,2
432,avoid,1
433,need,1
434,republican,2
435,breaking,4
436,one,1
437,reopening,1
